7242 764917 368
5491 585706 387
4791 432577 310
4468 383090 350
4254 293080 340
3369 152370 305
3016 58890 270
3180 82819 253
2639 13456 278
2681 16431 299
2624 12806 198
6577 711505 273
5956 565737 258
5467 438601 216
4926 471555 285
4276 289507 291
3718 160216 271
3662 150287 287
3428 82896 274
3432 91890 263
3091 39947 259
2574 9306 242
7054 728602 357
5449 579649 392
5104 437828 332
4257 348357 306
4006 321920 315
3853 213032 341
3003 71219 296
2889 45469 315
2678 23943 260
2700 18273 225
2697 21192 257
8849 1137745 274
6228 580477 272
5317 524840 289
4742 415742 263
4615 333531 249
3689 167303 276
3523 143433 256
3466 105935 262
3422 72570 287
3091 49217 257
2751 16898 206
5220 588618 231
9331 1426418 436
5220 588618 231
9331 1426418 436
5220 588618 231
9331 1426418 436
5220 588618 231
4647 505166 282
5220 588618 231
4647 505166 282
6115 761906 370
4547 469481 275
5220 588618 231
4647 505166 282
5915 729155 324
4896 536738 306
5447 585187 276
4753 519407 200
5326 684883 184
5052 606613 142
5847 706203 349
4524 468828 281
5855 843047 174
5126 623554 167
5505 646973 273
4647 505168 283
5852 870172 153
4809 550479 134
5645 715255 192
4524 468828 280
6179 1045219 150
5345 599683 138
51 0 3
91 0 3
51 0 3
91 0 3
51 0 3
91 0 3
2491 0 67
2491 0 67
2491 0 67
2512 838 158
2491 0 67
2466 0 36
2508 965 203
2524 1012 192
2491 0 67
2466 0 36
2508 965 203
2524 1012 192
4938 0 132
4936 0 66
4965 1882 403
4962 2253 365
4938 0 132
4936 0 66
4965 1882 403
4962 2253 365
7398 0 216
7396 0 85
7431 1339 614
7430 1793 597
7398 0 216
7396 0 85
7431 1339 614
7430 1793 597
7413 0 235
7398 0 48
7451 296 563
7425 249 666
7398 0 216
7396 0 85
7431 1339 614
7430 1793 597
7413 0 235
7398 0 48
7451 296 563
7425 249 666
7399 0 269
7395 130 273
7443 1948 443
7445 2018 440
8140 0 267
8130 152 264
8151 1326 376
8149 690 401
8341 0 294
8347 118 275
8350 1034 493
8379 1775 477
7913 0 269
7887 94 263
7900 172 428
7920 682 412
7902 0 274
7902 82 257
7942 2246 448
7945 2525 508
7896 0 263
7896 110 280
7915 182 434
7906 944 393
9475 0 328
9467 68 296
9511 1790 544
9507 1019 529
9470 0 308
9467 134 288
9488 171 564
9483 737 530
9683 0 309
9686 92 308
9739 616 547
9736 1067 507
9694 0 317
9686 122 293
9699 181 466
9697 729 452
19944 0 466
19938 50 415
19950 1068 654
19946 258 611
19720 0 462
19718 94 387
19720 163 698
19710 533 797
19983 0 470
19985 68 397
19983 92 766
19995 337 793
19972 0 454
19985 108 424
19988 755 614
19985 387 606
19599 0 478
19575 68 404
19590 119 753
